tempo,x1,y1,z1,x2,y2,z2,distanza
2360,-5903.98,3689.06,0,-4513.12,6540.92,0,3172.95
2380,-5984.17,3560.23,0,-4617.29,6457.65,0,3203.66
2400,-6061.54,3429.73,0,-4719.99,6372.33,0,3233.99
2420,-6136.05,3297.6,0,-4821.17,6284.96,0,3263.93
2440,-6207.66,3163.92,0,-4920.82,6195.58,0,3293.47
2460,-6276.35,3028.74,0,-5018.87,6104.2,0,3322.6
2480,-6342.08,2892.14,0,-5115.31,6010.85,0,3351.32
2500,-6404.83,2754.18,0,-5210.09,5915.56,0,3379.6
2520,-6464.56,2614.93,0,-5303.17,5818.33,0,3407.44
2540,-6521.25,2474.44,0,-5394.52,5719.21,0,3434.83
2560,-6574.88,2332.79,0,-5484.09,5618.21,0,3461.76
2580,-6625.42,2190.05,0,-5571.87,5515.36,0,3488.22
2600,-6672.86,2046.27,0,-5657.79,5410.68,0,3514.2
2620,-6717.16,1901.54,0,-5741.84,5304.21,0,3539.69
2640,-6758.32,1755.92,0,-5823.97,5195.96,0,3564.67
2660,-6796.31,1609.47,0,-5904.15,5085.98,0,3589.15
2680,-6831.12,1462.27,0,-5982.34,4974.27,0,3613.11
2700,-6862.73,1314.39,0,-6058.51,4860.89,0,3636.54
2720,-6891.14,1165.9,0,-6132.61,4745.85,0,3659.43
2740,-6916.33,1016.85,0,-6204.62,4629.19,0,3681.78
2760,-6938.3,867.339,0,-6274.49,4510.94,0,3703.57
2780,-6957.02,717.419,0,-6342.19,4391.13,0,3724.8
2800,-6972.51,567.164,0,-6407.7,4269.79,0,3745.46
2820,-6984.75,416.646,0,-6470.96,4146.96,0,3765.53
2840,-6993.73,265.933,0,-6531.96,4022.68,0,3785.02
2860,-6999.47,115.097,0,-6590.64,3896.98,0,3803.91
2880,-7001.95,-35.7924,0,-6646.99,3769.89,0,3822.2
2900,-7001.18,-186.665,0,-6700.96,3641.45,0,3839.87
2920,-6997.16,-337.452,0,-6752.52,3511.71,0,3856.93
2940,-6989.89,-488.082,0,-6801.64,3380.7,0,3873.35
2960,-6979.39,-638.485,0,-6848.28,3248.45,0,3889.15
2980,-6965.65,-788.593,0,-6892.42,3115.02,0,3904.3
3000,-6948.69,-938.336,0,-6934.02,2980.44,0,3918.8
3020,-6928.52,-1087.65,0,-6973.04,2844.75,0,3932.65
3040,-6905.14,-1236.45,0,-7009.47,2708,0,3945.83
3060,-6878.58,-1384.69,0,-7043.26,2570.24,0,3958.35
3080,-6848.84,-1532.28,0,-7074.38,2431.5,0,3970.19
3100,-6815.94,-1679.17,0,-7102.81,2291.83,0,3981.36
